price,address,bds,ba,sqft,image
"$185,000","3862 Chimney Mill Ct, Ellenwood, GA 30294",4,3,"2,068",https://photos.zillowstatic.com/p_e/ISr12keyyedp7a1000000000.jpg
"$385,000","5184 Beechwood Forest Dr, Lithonia, GA 30038",5,4,"5,085",https://photos.zillowstatic.com/p_e/IS3r5xqqyd02vg1000000000.jpg
"$154,870","2467 Piering Dr, Lithonia, GA",3,3,"1,455",https://photos.zillowstatic.com/p_e/ISrtv55ubfxuph0000000000.jpg
"$85,000","3603 Cobble Mill Ln, Clarkston, GA 30021",2,4,"1,182",N/A
"$265,000","1031 Forrest Blvd, Decatur, GA 30030",2,1,"1,166","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$390,000","1122 Perimeter Walk #1122, Atlanta, GA 30338",3,4,"2,156","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$295,000","2235 Brunswick Ave, Decatur, GA 30032",4,2,"1,502","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$180,000","1441 Carter Rd, Decatur, GA 30030",4,3,"1,723","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$200,000","310 Patterson Ave SE, Atlanta, GA 30316",3,2,"1,166","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$167,500","2825 NE Expy NE, Atlanta, GA 30345",4,5,"2,726","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$600,000","1680 Chartwell Trce, Smoke Rise, GA 30087",5,7,"4,762","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$664,500","1076 Central Park Rd, Decatur, GA 30033",4,4,"2,700","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$284,500","2633 Old Norcross Rd, Tucker, GA 30084",3,2,"1,616","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$155,500","3992 Carlinswood Way, Stone Mountain, GA 30083",3,3,"1,681","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$194,900","1190 Old Greystone Dr, Lithonia, GA 30058",3,3,"2,492","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$405,000","22 Vinson Dr SE, Atlanta, GA 30317",3,3,"2,084","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$585,000","1290 Brook Forest Dr NE, Atlanta, GA 30324",3,2,"1,617","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$165,000","910 Park West Ln, Stone Mountain, GA 30088",4,3,"1,932","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$41,000","4363 Timberlake, Stone Mountain, GA 30083",2,2,940,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$175,000","3501 Tulip Dr, Decatur, GA 30032",4,2,"1,978","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$970,000","552 Oakdale Rd NE, Atlanta, GA 30307",5,4,"3,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$495,000","144 Campbell St SE, Atlanta, GA 30317",3,2,"1,600","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$654,750","5168 Lakesprings Dr, Atlanta, GA 30338",6,5,"4,241","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
