price,address,bds,ba,sqft,image
"$238,070","2254 Annes Lake Cir #34, Lithonia, GA 30058",3,3,"2,135","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$142,500","749 S Pine St, Conyers, GA 30012",3,2,"1,376","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$100,000","1314 S Hicks Cir, Conyers, GA 30012",3,2,988,N/A
"$237,000","3494 Pebble Brook Ln, Stockbridge, GA 30281",4,3,"2,397",N/A
"$365,000","3210 Old Church Cv NE, Conyers, GA 30012",3,4,"4,638","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$325,460","301 Charlotte Frances Ln, Mcdonough, GA 30252",--,--,--,N/A
"$100,000","1314 NW South Hicks Cir, Conyers, GA 30012",3,2,988,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$178,000","1402 Silver Summit Dr SE, Conyers, GA 30094",2,2,"1,775",N/A
"$16,900","2826 Philadelphia Rd NE, Conyers, GA 30012",0.66,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$199,900","3463 Spring Creek Dr SE, Conyers, GA 30013",4,3,"2,072","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$135,000","673 Almand Branch Rd SE, Conyers, GA 30094",3,2,"1,460","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$74,000","1553 Park St NE, Conyers, GA 30012",2,1,"1,226","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$149,900","620 Hunters Xing NW, Conyers, GA 30012",3,2,"1,212","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$105,000","845 Sherbrooke Dr SE, Conyers, GA 30094",4,3,"2,188","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$142,500","749 S Pine St NE, Conyers, GA 30012",3,2,"1,376","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$226,000","4821 W Lake Dr SE, Conyers, GA 30094",3,3,"4,390","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$318,090","2708 Potters Walk #84, Conyers, GA 30012",5,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$318,490","2710 Potters Walk #85, Conyers, GA 30012",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$160,000","1757 Millstream Holw, Conyers, GA 30012",3,3,"1,938","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$45,000","2241 August Ct SW, Conyers, GA 30094",3,2,"1,615","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$169,900","2075 Wildflower Way #10, Conyers, GA 30012",3,3,"1,422","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$318,000","2708 Potters Walk, Conyers, GA 30012",--,--,--,N/A
"$247,990","2736 Potters Walk #98, Conyers, GA 30012",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
