price,beds,baths,square_feet,Cherokee,Clayton,Cobb,DeKalb,Douglas,Fayette,Fulton,Gwinnett,Henry,Rockdale
505000.0,4.0,4.0,2458.0,0,0,1,0,0,0,0,0,0,0
249600.0,3.0,2.0,1363.0,0,0,1,0,0,0,0,0,0,0
250000.0,3.0,2.0,1181.0,0,0,1,0,0,0,0,0,0,0
529000.0,4.0,3.0,2610.0,0,0,1,0,0,0,0,0,0,0
290000.0,3.0,2.0,1153.0,0,0,1,0,0,0,0,0,0,0
270000.0,3.0,3.0,1337.0,0,0,1,0,0,0,0,0,0,0
636000.0,3.0,3.0,3806.0,0,0,1,0,0,0,0,0,0,0
410000.0,3.0,4.0,3033.0,0,0,1,0,0,0,0,0,0,0
389900.0,3.0,3.0,1663.0,0,0,1,0,0,0,0,0,0,0
690000.0,4.0,5.0,5453.0,0,0,1,0,0,0,0,0,0,0
507000.0,5.0,6.0,3680.0,0,0,1,0,0,0,0,0,0,0
440000.0,4.0,3.0,2748.0,0,0,1,0,0,0,0,0,0,0
340000.0,3.0,4.0,2256.0,0,0,1,0,0,0,0,0,0,0
182000.0,2.0,2.0,1250.0,0,0,1,0,0,0,0,0,0,0
365000.0,4.0,2.0,1824.0,0,0,1,0,0,0,0,0,0,0
400000.0,3.0,2.0,1550.0,0,0,1,0,0,0,0,0,0,0
440100.0,4.0,4.0,3627.0,0,0,1,0,0,0,0,0,0,0
350000.0,3.0,2.0,1500.0,0,0,1,0,0,0,0,0,0,0
295000.0,3.0,3.0,1916.0,0,0,1,0,0,0,0,0,0,0
140000.0,3.0,3.0,1452.0,0,0,1,0,0,0,0,0,0,0
492500.0,3.0,5.0,4126.0,0,0,1,0,0,0,0,0,0,0
343000.0,4.0,4.0,2761.0,0,0,1,0,0,0,0,0,0,0
465000.0,4.0,4.0,3175.0,0,0,1,0,0,0,0,0,0,0
492500.0,3.0,5.0,4126.0,0,0,1,0,0,0,0,0,0,0
350000.0,3.0,2.0,1800.0,0,0,1,0,0,0,0,0,0,0
362500.0,5.0,3.0,2340.0,0,0,1,0,0,0,0,0,0,0
200000.0,2.0,3.0,1292.0,0,0,1,0,0,0,0,0,0,0
200485.0,2.0,3.0,1292.0,0,0,1,0,0,0,0,0,0,0
380000.0,3.0,3.0,2012.0,0,0,1,0,0,0,0,0,0,0
866900.0,6.0,6.0,5873.0,0,0,1,0,0,0,0,0,0,0
465000.0,5.0,4.0,3479.0,0,0,1,0,0,0,0,0,0,0
140500.0,2.0,3.0,1536.0,0,0,1,0,0,0,0,0,0,0
375000.0,4.0,4.0,2856.0,0,0,1,0,0,0,0,0,0,0
210000.0,2.0,2.0,1382.0,0,0,1,0,0,0,0,0,0,0
352500.0,3.0,2.0,1657.0,0,0,1,0,0,0,0,0,0,0
239900.0,3.0,2.0,1100.0,0,0,1,0,0,0,0,0,0,0
515000.0,4.0,3.0,2890.0,0,0,1,0,0,0,0,0,0,0
390000.0,3.0,2.0,2391.0,0,0,1,0,0,0,0,0,0,0
220000.0,2.0,2.5,1510.0,0,0,1,0,0,0,0,0,0,0
370000.0,3.0,4.0,1989.0,0,0,1,0,0,0,0,0,0,0
198000.0,2.0,3.0,1386.0,0,0,1,0,0,0,0,0,0,0
335000.0,3.0,4.0,2513.0,0,0,1,0,0,0,0,0,0,0
229000.0,3.0,2.0,1175.0,0,0,1,0,0,0,0,0,0,0
