price,address,bds,ba,sqft,image
"$482,687","255 Harmony Lake Dr, Holly Springs, GA",5,3,"3,320","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$346,490","227 Hickory Chase, Canton, GA 30115",3,3,"2,088","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$267,500","207 Highland Village Ln, Woodstock, GA 30188",3,3,"2,111","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$55,000","0 Reinhardt College Pkwy, Canton, GA 30114",232.71,N/A,N/A,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$315,900","612 Crosshaven Dr, Marietta, GA 30066",4,4,"2,458","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$258,000","107 William Ct #4, Ball Ground, GA 30107",4,3,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$258,000","107 William Ct, Ball Ground, GA 30107",4,3,"2,489","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$320,000","620 Byrd Mountain Ln, Canton, GA 30114",Studio,--,"1,869","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$462,500","109 Modoc Ct, Waleska, GA 30183",5,3,"3,000","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$407,200","407 Parkbrook Way, Canton, GA 30114",4,3,"2,716","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$389,900","229 Pinebrook Dr, Waleska, GA 30183",4,4,"2,784","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$300,000","910 Dooney Dr, Woodstock, GA 30188",3,2.5,"2,026","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$250,000","1142 Cotton Gin Dr, Woodstock, GA 30188",3,3,"1,804","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$211,000","1520 Deerwood Ln, Acworth, GA 30102",Studio,2,"2,391","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$360,000","211 Falcon Pointe Ct, Canton, GA 30114",4,3,"3,194",https://photos.zillowstatic.com/p_e/IS72lfl0rcd9kn0000000000.jpg
"$300,000","201 Hunters Mill Ln, Woodstock, GA 30188",4,4,"3,104",https://photos.zillowstatic.com/p_e/IS3rltubg2r9s01000000000.jpg
"$517,500","101 W Ridge Dr, Canton, GA 30114",4,4,"3,094",https://photos.zillowstatic.com/p_e/ISnedeetuuzom90000000000.jpg
